delta,finish_position,grid,rainfall_any,team_name,driverId,constructorId,raceId,round,year,y_true,y_pred,error,abs_delta,finish_group,abs_delta_bin
0,1,1,0,Red Bull       ,830,9,1098,1,2023,1,1,0,0.0,Top 5,<=2
0,2,2,0,Red Bull       ,815,9,1098,1,2023,1,2,1,0.0,Top 5,<=2
-2,3,5,0,Aston Martin   ,4,117,1098,1,2023,1,1,0,2.0,Top 5,<=2
0,4,4,0,Ferrari        ,832,6,1098,1,2023,1,1,0,0.0,Top 5,<=2
-2,5,7,0,Mercedes       ,1,131,1098,1,2023,1,1,0,2.0,Top 5,<=2
-2,6,8,0,Aston Martin   ,840,117,1098,1,2023,1,1,0,2.0,6-10,<=2
1,7,6,0,Mercedes       ,847,131,1098,1,2023,1,1,0,1.0,6-10,<=2
-4,8,12,0,Alfa Romeo     ,822,51,1098,1,2023,0,1,1,4.0,6-10,2-5
-11,9,20,0,Alpine F1 Team ,842,214,1098,1,2023,0,0,0,11.0,6-10,10-30
-5,10,15,0,Williams       ,848,3,1098,1,2023,0,1,1,5.0,6-10,2-5
-3,11,14,0,AlphaTauri     ,852,213,1098,1,2023,0,1,1,3.0,11-15,2-5
-4,12,16,0,Williams       ,858,3,1098,1,2023,0,1,1,4.0,11-15,2-5
-4,13,17,0,Haas F1 Team   ,825,210,1098,1,2023,0,1,1,4.0,11-15,2-5
-5,14,19,0,AlphaTauri     ,856,213,1098,1,2023,0,0,0,5.0,11-15,2-5
5,15,10,0,Haas F1 Team   ,807,210,1098,1,2023,2,1,1,5.0,11-15,2-5
3,16,13,0,Alfa Romeo     ,855,51,1098,1,2023,2,1,1,3.0,16+,2-5
6,17,11,0,McLaren        ,846,1,1098,1,2023,2,1,1,6.0,16+,5-10
9,18,9,0,Alpine F1 Team ,839,214,1098,1,2023,2,1,1,9.0,16+,5-10
16,19,3,0,Ferrari        ,844,6,1098,1,2023,2,1,1,16.0,16+,10-30
2,20,18,0,McLaren        ,857,1,1098,1,2023,1,0,1,2.0,16+,<=2
0,1,1,0,Red Bull       ,815,9,1099,2,2023,1,1,0,0.0,Top 5,<=2
-13,2,15,0,Red Bull       ,830,9,1099,2,2023,0,0,0,13.0,Top 5,10-30
1,3,2,0,Aston Martin   ,4,117,1099,2,2023,1,1,0,1.0,Top 5,<=2
1,4,3,0,Mercedes       ,847,131,1099,2,2023,1,1,0,1.0,Top 5,<=2
-2,5,7,0,Mercedes       ,1,131,1099,2,2023,1,1,0,2.0,Top 5,<=2
2,6,4,0,Ferrari        ,832,6,1099,2,2023,1,1,0,2.0,6-10,<=2
-5,7,12,0,Ferrari        ,844,6,1099,2,2023,0,0,0,5.0,6-10,2-5
2,8,6,0,Alpine F1 Team ,839,214,1099,2,2023,1,1,0,2.0,6-10,<=2
0,9,9,0,Alpine F1 Team ,842,214,1099,2,2023,1,1,0,0.0,6-10,<=2
-3,10,13,0,Haas F1 Team   ,825,210,1099,2,2023,0,1,1,3.0,6-10,2-5
-5,11,16,0,AlphaTauri     ,852,213,1099,2,2023,0,1,1,5.0,11-15,2-5
2,12,10,0,Haas F1 Team   ,807,210,1099,2,2023,1,1,0,2.0,11-15,<=2
2,13,11,0,Alfa Romeo     ,855,51,1099,2,2023,1,1,0,2.0,11-15,<=2
-4,14,18,0,AlphaTauri     ,856,213,1099,2,2023,0,0,0,4.0,11-15,2-5
7,15,8,0,McLaren        ,857,1,1099,2,2023,2,1,1,7.0,11-15,5-10
-4,16,20,0,Williams       ,858,3,1099,2,2023,0,0,0,4.0,16+,2-5
-2,17,19,0,McLaren        ,846,1,1099,2,2023,1,0,1,2.0,16+,<=2
