analysis,group_col,group_value,n_obs,n_errors,error_rate,share_of_all_obs,share_of_all_errors
By true class,y_true,2,123,88,0.7154471544715447,0.27954545454545454,0.5028571428571429
By true class,y_true,0,112,42,0.375,0.2545454545454545,0.24
By true class,y_true,1,205,45,0.21951219512195122,0.4659090909090909,0.2571428571428571
By predicted class,y_pred,1,279,119,0.4265232974910394,0.634090909090909,0.68
By predicted class,y_pred,0,117,47,0.4017094017094017,0.26590909090909093,0.26857142857142857
By predicted class,y_pred,2,44,9,0.20454545454545456,0.1,0.05142857142857143
By driver,driverId,857,22,14,0.6363636363636364,0.05,0.08
By driver,driverId,825,22,13,0.5909090909090909,0.05,0.07428571428571429
By driver,driverId,839,22,12,0.5454545454545454,0.05,0.06857142857142857
By driver,driverId,848,22,12,0.5454545454545454,0.05,0.06857142857142857
By driver,driverId,852,22,12,0.5454545454545454,0.05,0.06857142857142857
By driver,driverId,822,22,11,0.5,0.05,0.06285714285714286
By driver,driverId,842,22,10,0.45454545454545453,0.05,0.05714285714285714
By driver,driverId,858,22,10,0.45454545454545453,0.05,0.05714285714285714
By driver,driverId,1,22,9,0.4090909090909091,0.05,0.05142857142857143
By driver,driverId,846,22,9,0.4090909090909091,0.05,0.05142857142857143
By driver,driverId,847,22,9,0.4090909090909091,0.05,0.05142857142857143
By driver,driverId,855,22,9,0.4090909090909091,0.05,0.05142857142857143
By driver,driverId,832,22,8,0.36363636363636365,0.05,0.045714285714285714
By driver,driverId,807,22,7,0.3181818181818182,0.05,0.04
By driver,driverId,844,22,7,0.3181818181818182,0.05,0.04
By driver,driverId,856,10,3,0.3,0.022727272727272728,0.017142857142857144
By driver,driverId,817,7,2,0.2857142857142857,0.015909090909090907,0.011428571428571429
By driver,driverId,815,22,6,0.2727272727272727,0.05,0.03428571428571429
By driver,driverId,840,22,5,0.22727272727272727,0.05,0.02857142857142857
By driver,driverId,859,5,1,0.2,0.011363636363636364,0.005714285714285714
By driver,driverId,4,22,4,0.18181818181818182,0.05,0.022857142857142857
By driver,driverId,830,22,2,0.09090909090909091,0.05,0.011428571428571429
By team,team_name,McLaren        ,44,23,0.5227272727272727,0.1,0.13142857142857142
By team,team_name,Alpine F1 Team ,44,22,0.5,0.1,0.12571428571428572
By team,team_name,Williams       ,44,22,0.5,0.1,0.12571428571428572
By team,team_name,Alfa Romeo     ,44,20,0.45454545454545453,0.1,0.11428571428571428
By team,team_name,Haas F1 Team   ,44,20,0.45454545454545453,0.1,0.11428571428571428
By team,team_name,AlphaTauri     ,44,18,0.4090909090909091,0.1,0.10285714285714286
By team,team_name,Mercedes       ,44,18,0.4090909090909091,0.1,0.10285714285714286
By team,team_name,Ferrari        ,44,15,0.3409090909090909,0.1,0.08571428571428572
By team,team_name,Aston Martin   ,44,9,0.20454545454545456,0.1,0.05142857142857143
By team,team_name,Red Bull       ,44,8,0.18181818181818182,0.1,0.045714285714285714
By circuit/race,raceId,1098,20,12,0.6,0.045454545454545456,0.06857142857142857
By circuit/race,raceId,1108,20,12,0.6,0.045454545454545456,0.06857142857142857
