driverId,team_name,p_under,p_neutral,p_over,mc_prob_under,mc_prob_neutral,mc_prob_over
830,Red Bull       ,0.09,0.7633333333333333,0.14666666666666667,0.0882,0.7678,0.144
846,McLaren        ,0.04,0.5166666666666667,0.44333333333333336,0.0393,0.5084,0.4523
1,Mercedes       ,0.4066666666666667,0.4166666666666667,0.17666666666666667,0.4015,0.422,0.1765
857,McLaren        ,0.056666666666666664,0.4166666666666667,0.5266666666666666,0.0547,0.4117,0.5336
847,Mercedes       ,0.24,0.6566666666666666,0.10333333333333333,0.2376,0.6602,0.1022
815,Red Bull       ,0.6466666666666666,0.14333333333333334,0.21,0.6464,0.1433,0.2103
4,Aston Martin   ,0.32,0.42333333333333334,0.25666666666666665,0.3145,0.4305,0.255
848,Williams       ,0.08666666666666667,0.36666666666666664,0.5466666666666666,0.0837,0.3622,0.5541
844,Ferrari        ,0.016666666666666666,0.6966666666666667,0.2866666666666667,0.0172,0.7045,0.2783
832,Ferrari        ,0.05,0.61,0.34,0.0541,0.6075,0.3384
858,Williams       ,0.2,0.5166666666666667,0.2833333333333333,0.1934,0.5195,0.2871
822,Alfa Romeo     ,0.7,0.25,0.05,0.7005,0.2497,0.0498
807,Haas F1 Team   ,0.14666666666666667,0.4033333333333333,0.45,0.15,0.4016,0.4484
840,Aston Martin   ,0.5033333333333333,0.37,0.12666666666666668,0.5076,0.3681,0.1243
855,Alfa Romeo     ,0.5533333333333333,0.39,0.056666666666666664,0.5553,0.3882,0.0565
852,AlphaTauri     ,0.2966666666666667,0.52,0.18333333333333332,0.2875,0.5203,0.1922
856,AlphaTauri     ,0.43,0.48,0.09,0.4283,0.4804,0.0913
842,Alpine F1 Team ,0.17333333333333334,0.49666666666666665,0.33,0.1779,0.4934,0.3287
825,Haas F1 Team   ,0.5133333333333333,0.42,0.06666666666666667,0.5203,0.4094,0.0703
839,Alpine F1 Team ,0.48,0.4033333333333333,0.11666666666666667,0.4862,0.4018,0.112
