driverId,team_name,p_under,p_neutral,p_over,mc_prob_under,mc_prob_neutral,mc_prob_over
830,Red Bull       ,0.02666666666666667,0.7233333333333334,0.25,0.0264,0.7294,0.2442
4,Aston Martin   ,0.056666666666666664,0.6266666666666667,0.31666666666666665,0.0558,0.6227,0.3215
839,Alpine F1 Team ,0.07333333333333333,0.5566666666666666,0.37,0.0734,0.55,0.3766
1,Mercedes       ,0.08666666666666667,0.7866666666666666,0.12666666666666668,0.086,0.7847,0.1293
847,Mercedes       ,0.4533333333333333,0.4,0.14666666666666667,0.4519,0.4052,0.1429
844,Ferrari        ,0.07333333333333333,0.6133333333333333,0.31333333333333335,0.0732,0.6134,0.3134
842,Alpine F1 Team ,0.10333333333333333,0.5966666666666667,0.3,0.1024,0.6001,0.2975
832,Ferrari        ,0.03666666666666667,0.5666666666666667,0.39666666666666667,0.0345,0.564,0.4015
846,McLaren        ,0.31333333333333335,0.45666666666666667,0.23,0.3168,0.4608,0.2224
857,McLaren        ,0.33666666666666667,0.44,0.22333333333333333,0.3394,0.4343,0.2263
822,Alfa Romeo     ,0.4033333333333333,0.4866666666666667,0.11,0.4017,0.4855,0.1128
856,AlphaTauri     ,0.20333333333333334,0.4766666666666667,0.32,0.205,0.4755,0.3195
855,Alfa Romeo     ,0.68,0.28,0.04,0.6813,0.2797,0.039
848,Williams       ,0.2633333333333333,0.5433333333333333,0.19333333333333333,0.2664,0.5412,0.1924
852,AlphaTauri     ,0.12666666666666668,0.41333333333333333,0.46,0.1265,0.4174,0.4561
815,Red Bull       ,0.6666666666666666,0.14666666666666667,0.18666666666666668,0.6567,0.1481,0.1952
807,Haas F1 Team   ,0.49333333333333335,0.44666666666666666,0.06,0.4919,0.4463,0.0618
858,Williams       ,0.29333333333333333,0.5633333333333334,0.14333333333333334,0.3064,0.5515,0.1421
825,Haas F1 Team   ,0.47333333333333333,0.4533333333333333,0.07333333333333333,0.4825,0.4397,0.0778
840,Aston Martin   ,0.49333333333333335,0.4033333333333333,0.10333333333333333,0.4993,0.4014,0.0993
