scenario,year,round,driverId,team_name,p_under,p_neutral,p_over,pred_class,pred_label_name,label,true_label_name,correct
azerbaijan_2023_street_dry,2023,4,815,Red Bull       ,0.0566666666666666,0.8166666666666667,0.1266666666666666,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,830,Red Bull       ,0.0366666666666666,0.78,0.1833333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,844,Ferrari        ,0.03,0.5066666666666667,0.4633333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,4,Aston Martin   ,0.11,0.6266666666666667,0.2633333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,832,Ferrari        ,0.0333333333333333,0.5933333333333334,0.3733333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,1,Mercedes       ,0.0766666666666666,0.7866666666666666,0.1366666666666666,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,840,Aston Martin   ,0.2766666666666666,0.58,0.1433333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,847,Mercedes       ,0.61,0.3266666666666666,0.0633333333333333,0,under,0,under,1
azerbaijan_2023_street_dry,2023,4,846,McLaren        ,0.1433333333333333,0.6133333333333333,0.2433333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,852,AlphaTauri     ,0.1066666666666666,0.3666666666666666,0.5266666666666666,2,over,1,neutral,0
azerbaijan_2023_street_dry,2023,4,857,McLaren        ,0.2333333333333333,0.4233333333333333,0.3433333333333333,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,848,Williams       ,0.22,0.5333333333333333,0.2466666666666666,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,825,Haas F1 Team   ,0.1766666666666666,0.5966666666666667,0.2266666666666666,1,neutral,0,under,0
azerbaijan_2023_street_dry,2023,4,842,Alpine F1 Team ,0.6366666666666667,0.2266666666666666,0.1366666666666666,0,under,0,under,1
azerbaijan_2023_street_dry,2023,4,839,Alpine F1 Team ,0.0466666666666666,0.4166666666666667,0.5366666666666666,2,over,2,over,1
azerbaijan_2023_street_dry,2023,4,858,Williams       ,0.2766666666666666,0.4733333333333333,0.25,1,neutral,1,neutral,1
azerbaijan_2023_street_dry,2023,4,807,Haas F1 Team   ,0.0166666666666666,0.3333333333333333,0.65,2,over,2,over,1
azerbaijan_2023_street_dry,2023,4,822,Alfa Romeo     ,0.37,0.4766666666666667,0.1533333333333333,1,neutral,2,over,0
azerbaijan_2023_street_dry,2023,4,855,Alfa Romeo     ,0.3633333333333333,0.4766666666666667,0.16,1,neutral,2,over,0
azerbaijan_2023_street_dry,2023,4,856,AlphaTauri     ,0.5366666666666666,0.3533333333333333,0.11,0,under,1,neutral,0
monaco_2023_street_wet,2023,6,830,Red Bull       ,0.0266666666666666,0.7233333333333334,0.25,1,neutral,1,neutral,1
monaco_2023_street_wet,2023,6,4,Aston Martin   ,0.0566666666666666,0.6266666666666667,0.3166666666666666,1,neutral,1,neutral,1
